,cutoff,start_balance,num_trades,strat,max_shares,win_rate,total_num_trades,avg_price_per_share,balance,percent_change
52,0.02,2000,5,sorted,100,0.636466591166478,3532,23.6768114817975,22238.726687999937,10.119363343999968
53,0.02,2000,5,sorted,200,0.6390147225368064,3532,23.6768114817975,37177.93419999991,17.588967099999955
54,0.02,2000,5,sorted,300,0.6373159682899208,3532,23.6768114817975,48793.20280600013,23.396601403000066
55,0.02,2000,5,sorted,400,0.6395809739524349,3532,23.6768114817975,57963.559143999955,27.98177957199998
56,0.02,2000,10,sorted,100,0.6454954954954955,4440,23.85518427139202,23846.478982999975,10.923239491499988
57,0.02,2000,10,sorted,200,0.6466216216216216,4440,23.85518427139202,38316.61185199997,18.158305925999986
58,0.02,2000,10,sorted,300,0.6472972972972973,4440,23.85518427139202,48941.21283000019,23.4706064150001
59,0.02,2000,10,sorted,400,0.6495495495495496,4440,23.85518427139202,57083.610916999925,27.54180545849996
60,0.02,2000,15,sorted,100,0.6533192834562698,4745,23.863508566743985,23783.60239599994,10.89180119799997
61,0.02,2000,15,sorted,200,0.6535300316122233,4745,23.863508566743985,37820.27602799989,17.910138013999944
62,0.02,2000,15,sorted,300,0.6535300316122233,4745,23.863508566743985,48101.71316199993,23.050856580999962
63,0.02,2000,15,sorted,400,0.6552160168598524,4745,23.863508566743985,56133.90043199981,27.066950215999906
64,0.025,2000,3,sorted,100,0.6316622691292876,1895,24.843196718750008,17336.347319999953,7.668173659999977
65,0.025,2000,3,sorted,200,0.6321899736147757,1895,24.843196718750008,29368.545849999984,13.684272924999991
66,0.025,2000,3,sorted,300,0.6316622691292876,1895,24.843196718750008,39199.417515000045,18.59970875750002
67,0.025,2000,3,sorted,400,0.6343007915567282,1895,24.843196718750008,47298.60727899997,22.649303639499983
68,0.025,2000,5,sorted,100,0.6367614879649891,2285,24.916718630208344,18580.97948299997,8.290489741499986
69,0.025,2000,5,sorted,200,0.6363238512035011,2285,24.916718630208344,30980.59933999995,14.490299669999974
70,0.025,2000,5,sorted,300,0.637636761487965,2285,24.916718630208344,40639.888033999996,19.319944016999997
71,0.025,2000,5,sorted,400,0.6402625820568928,2285,24.916718630208344,48298.84743899996,23.149423719499982
72,0.025,2000,10,sorted,100,0.6467203682393556,2607,24.965651684027765,19212.343138,8.606171569
73,0.025,2000,10,sorted,200,0.648638281549674,2607,24.965651684027765,31367.920771999925,14.683960385999962
74,0.025,2000,10,sorted,300,0.6471039509014193,2607,24.965651684027765,40668.76770700012,19.33438385350006
75,0.025,2000,10,sorted,400,0.6497890295358649,2607,24.965651684027765,47745.2468989999,22.87262344949995
76,0.025,2000,15,sorted,100,0.6480238627889635,2682,24.95757737266205,19030.065110999974,8.515032555499987
77,0.025,2000,15,sorted,200,0.6495152870991797,2682,24.95757737266205,31014.300846999933,14.507150423499967
78,0.025,2000,15,sorted,300,0.6483967188665175,2682,24.95757737266205,40244.12664500012,19.12206332250006
79,0.025,2000,15,sorted,400,0.6502609992542878,2682,24.95757737266205,47298.145695999934,22.649072847999967
